Subject,CreditValues 
Banker,E
Speech and language therapist,d
Estate agent,q
Software engineer,I
Company secretary,D
"Therapist, occupational",J
"Engineer, chemical",x
Clinical biochemist,Q
"Civil engineer, contracting",D
Warehouse manager,A
Tourist information centre manager,j
"Journalist, broadcasting",e
Actuary,U
Meteorologist,h
Dispensing optician,D
Biomedical scientist,J
Museum education officer,w
"Teacher, primary school",i
Administrator,m
Insurance broker,x
"Programmer, applications",u
"Administrator, education",O
Barrister's clerk,Q
"Surveyor, quantity",f
Psychotherapist,k
Call centre manager,f
Education administrator,b
"Psychologist, sport and exercise",k
Careers adviser,q
Automotive engineer,b
"Programmer, applications",u
"Designer, furniture",q
Textile designer,s
Health and safety inspector,T
Secondary school teacher,Z
Financial controller,M
"Teacher, music",w
Immunologist,x
Arboriculturist,E
Accommodation manager,G
Toxicologist,u
Advertising account planner,z
Exercise physiologist,d
"Production assistant, radio",N
Tour manager,b
Retail merchandiser,m
Historic buildings inspector/conservation officer,p
Information systems manager,J
Banker,f
"Research officer, trade union",B
Television camera operator,F
Waste management officer,C
"Therapist, nutritional",N
Phytotherapist,i
"Teacher, music",h
"Chemist, analytical",R
"Designer, graphic",u
Data processing manager,w
Writer,v
Osteopath,l
"Scientist, research (medical)",k
Hotel manager,E
"Production designer, theatre/television/film",E
Product designer,t
"Accountant, chartered public finance",O
"Designer, television/film set",F
Site engineer,y
"Physicist, medical",p
Engineering geologist,P
Media buyer,M
Field trials officer,c
"Engineer, automotive",o
Cartographer,a
Curator,R
Industrial buyer,t
Phytotherapist,Y
"Engineer, water",r
Ambulance person,A
Wellsite geologist,U
Research scientist (physical sciences),v
Financial planner,T
"Copywriter, advertising",V
Banker,Z
"Investment banker, corporate",F
Data processing manager,X
Armed forces technical officer,M
"Surveyor, mining",t
Restaurant manager,u
"Development worker, community",y
Warden/ranger,H
"Engineer, structural",q
"Development worker, community",A
Radiation protection practitioner,K
"Editor, film/video",v
Quarry manager,B
Recycling officer,U
Passenger transport manager,e
Armed forces technical officer,L
Artist,s
Land,c
Database administrator,F
Tour manager,M
Records manager,P
"Production assistant, television",j
Tourism officer,q
"Presenter, broadcasting",P
"Education officer, museum",F
Psychiatric nurse,j
Primary school teacher,P
Chartered accountant,l
"Scientist, research (medical)",H
Cytogeneticist,N
Tree surgeon,D
Fashion designer,Q
"Scientist, clinical (histocompatibility and immunogenetics)",E
"Pilot, airline",B
"Surveyor, land/geomatics",f
"Radiographer, diagnostic",x
"Geologist, engineering",V
Facilities manager,I
Museum/gallery curator,X
Plant breeder/geneticist,h
Haematologist,v
"Accountant, chartered public finance",j
Pensions consultant,q
"Engineer, building services",s
"Therapist, music",K
Television production assistant,e
Higher education lecturer,T
"Journalist, newspaper",c
Audiological scientist,y
"Engineer, civil (consulting)",z
"Engineer, chemical",U
Broadcast engineer,a
Architect,X
Higher education careers adviser,P
Risk manager,A
Early years teacher,f
Museum/gallery conservator,f
Clinical research associate,I
Financial controller,I
Materials engineer,D
Building services engineer,w
Textile designer,i
Financial planner,x
Operational researcher,e
Transport planner,J
Environmental consultant,l
"Programme researcher, broadcasting/film/video",U
Advertising art director,r
Visual merchandiser,M
Tree surgeon,V
Archaeologist,F
"Scientist, water quality",i
Medical sales representative,r
Manufacturing engineer,j
Historic buildings inspector/conservation officer,i
Artist,F
Nature conservation officer,j
Consulting civil engineer,J
Holiday representative,f
Medical technical officer,Y
"Engineer, materials",g
Insurance underwriter,Z
"Therapist, drama",S
"Lecturer, higher education",w
"Engineer, maintenance",U
Financial planner,o
Soil scientist,F
Cytogeneticist,p
Animal nutritionist,C
Corporate treasurer,H
Immunologist,q
Best boy,a
Commissioning editor,F
Financial planner,M
Research scientist (medical),p
Prison officer,r
Learning mentor,d
"Investment banker, corporate",q
Chartered accountant,e
Forensic psychologist,e
Private music teacher,y
Airline pilot,A
Environmental consultant,k
"Engineer, energy",g
Software engineer,r
Astronomer,U
Chemical engineer,h
Fisheries officer,M
"Education officer, community",t
Financial controller,w
Newspaper journalist,G
Chemical engineer,Q
Network engineer,x
Environmental health practitioner,Z
"Horticulturist, amenity",u
Speech and language therapist,t
"Engineer, automotive",G
Conference centre manager,n
Dietitian,C
Hospital pharmacist,F
"Nurse, children's",Z
Communications engineer,i
Music tutor,t
Heritage manager,d
Artist,S
"Surveyor, rural practice",v
Set designer,w
Commercial horticulturist,w
Education administrator,B
"Merchandiser, retail",S
Data processing manager,r
Broadcast journalist,q
"Therapist, occupational",M
Publishing copy,T
Theatre stage manager,D
Careers adviser,V
Writer,w
Field seismologist,o
Nutritional therapist,d
Economist,d
Community development worker,f
"Lighting technician, broadcasting/film/video",a
Musician,L
Clinical psychologist,t
Toxicologist,p
Chiropodist,A
Adult guidance worker,W
Museum/gallery curator,r
"Surveyor, insurance",m
Field seismologist,o
"Geologist, wellsite",T
"Librarian, public",O
Careers adviser,J
Music therapist,T
"Teacher, adult education",N
Medical secretary,e
Health service manager,g
Energy manager,Z
Geophysical data processor,s
"Physicist, medical",e
Police officer,Z
Artist,p
Mudlogger,K
Animal technologist,u
Public relations officer,k
"Scientist, product/process development",Q
Arboriculturist,c
Statistician,h
Aid worker,q
Writer,T
Tax adviser,m
"Presenter, broadcasting",c
"Producer, television/film/video",U
Interpreter,b
Research scientist (physical sciences),Y
"Scientist, research (maths)",V
Naval architect,I
Acupuncturist,J
Orthoptist,C
Hydrogeologist,Q
Statistician,V
Chartered accountant,x
Cartographer,A
Planning and development surveyor,n
Physiotherapist,F
Nature conservation officer,c
"Buyer, industrial",W
Banker,h
"Research officer, political party",Z
"Engineer, building services",N
Forest/woodland manager,G
Forest/woodland manager,T
"Conservator, museum/gallery",a
Geographical information systems officer,j
Fisheries officer,b
Dancer,U
Speech and language therapist,j
Metallurgist,p
IT trainer,u
Best boy,l
Health service manager,T
Barrister,c
Community development worker,b
Charity fundraiser,R
Building control surveyor,p
Public librarian,r
"Engineer, biomedical",Z
"Scientist, clinical (histocompatibility and immunogenetics)",K
Air traffic controller,C
"Horticulturist, commercial",j
"Engineer, mining",g
Diagnostic radiographer,B
Theatre stage manager,j
Senior tax professional/tax inspector,l
Heritage manager,c
Ecologist,e
Visual merchandiser,K
"Production assistant, radio",E
Pensions consultant,d
Naval architect,j
"Nurse, adult",u
"Development worker, community",w
Prison officer,n
"Engineer, manufacturing systems",t
Health visitor,Z
Oncologist,e
Operational investment banker,p
Communications engineer,k
Make,J
"Engineer, electrical",E
Politician's assistant,A
Writer,A
"Journalist, newspaper",Z
"Administrator, Civil Service",q
"Nurse, children's",a
Materials engineer,E
Television camera operator,G
Education administrator,a
Forest/woodland manager,z
IT trainer,F
Adult nurse,o
"Editor, magazine features",w
"Loss adjuster, chartered",g
"Pharmacist, community",K
"Designer, jewellery",X
"Therapist, horticultural",w
Equality and diversity officer,k
"Designer, interior/spatial",H
"Chemist, analytical",a
Camera operator,S
Drilling engineer,E
Homeopath,i
"Engineer, control and instrumentation",Y
Exercise physiologist,u
Structural engineer,o
Financial trader,P
Banker,e
Careers adviser,I
"Psychologist, counselling",y
"Social research officer, government",P
"Producer, television/film/video",A
Planning and development surveyor,E
Horticultural consultant,t
Animal technologist,S
Analytical chemist,F
"Research officer, political party",C
Company secretary,Z
Dispensing optician,z
Prison officer,g
"Engineer, electronics",S
Contracting civil engineer,u
Immigration officer,u
Sports development officer,K
"Social research officer, government",d
Local government officer,u
Heritage manager,s
Diplomatic Services operational officer,P
"Scientist, product/process development",c
Haematologist,v
Analytical chemist,Q
Broadcast journalist,x
Industrial buyer,x
Counselling psychologist,j
Network engineer,x
Logistics and distribution manager,o
Intelligence analyst,m
Company secretary,o
Theatre manager,v
Cabin crew,s
Forest/woodland manager,I
Curator,G
Chartered loss adjuster,Y
Physiotherapist,O
"Nurse, mental health",q
Web designer,j
Rural practice surveyor,P
Museum/gallery conservator,Y
Community pharmacist,l
Sports therapist,n
Fashion designer,L
Dentist,D
Copy,G
Health service manager,S
"Programme researcher, broadcasting/film/video",s
International aid/development worker,z
"Engineer, biomedical",V
Paediatric nurse,g
Careers adviser,M
Ranger/warden,u
Armed forces operational officer,w
Jewellery designer,m
Cartographer,I
"Administrator, sports",j
Fisheries officer,l
Mining engineer,L
Speech and language therapist,z
"Nurse, children's",V
Chartered legal executive (England and Wales),l
Music tutor,L
Lawyer,j
Camera operator,C
Horticultural consultant,H
"Surveyor, building",k
Health promotion specialist,Y
