s_id,Project,ProjectDomain,EventualDomain 
2363,Teaching laboratory technician,"Doctor, hospital","Engineer, maintenance (IT)"
2418,Armed forces technical officer,Dietitian,Wellsite geologist
5359,"Engineer, land","Surveyor, mining",Estate manager/land agent
31,"Administrator, education",Management consultant,"Engineer, aeronautical"
3876,Trade mark attorney,Communications engineer,"Engineer, biomedical"
1838,Metallurgist,"Research officer, political party",English as a second language teacher
690,"Programme researcher, broadcasting/film/video",Environmental education officer,"Investment banker, operational"
2724,Environmental health practitioner,Statistician,Architect
7700,Probation officer,Call centre manager,Office manager
677,Accommodation manager,"Geneticist, molecular",Tax adviser
2061,IT consultant,"Engineer, electronics",Estate agent
8335,Leisure centre manager,"Programme researcher, broadcasting/film/video",Physiological scientist
1350,Airline pilot,Physiological scientist,"Engineer, communications"
7633,"Education officer, museum",Lobbyist,Armed forces operational officer
6651,Museum education officer,Community education officer,Teaching laboratory technician
7774,Estate agent,Print production planner,Dance movement psychotherapist
9413,"Nurse, children's",Educational psychologist,Chartered loss adjuster
1752,Marine scientist,Police officer,Logistics and distribution manager
7653,"Engineer, water","Scientist, research (physical sciences)","Horticulturist, amenity"
2364,Clinical embryologist,Toxicologist,"Therapist, nutritional"
4613,Chartered accountant,"Physicist, medical",Trade mark attorney
7649,Land,Diagnostic radiographer,Museum/gallery conservator
5972,"Administrator, local government",Company secretary,Medical illustrator
8246,Land,"Runner, broadcasting/film/video","Merchandiser, retail"
4070,Patent attorney,"Scientist, research (physical sciences)",Textile designer
4111,Careers information officer,Midwife,TEFL teacher
3804,Corporate treasurer,Field seismologist,"Geologist, wellsite"
6969,Computer games developer,Corporate treasurer,"Lecturer, higher education"
7758,Forest/woodland manager,Environmental manager,"Scientist, research (life sciences)"
7101,Financial planner,Medical laboratory scientific officer,"Engineer, communications"
6777,Medical secretary,"Doctor, hospital","Therapist, sports"
948,Housing manager/officer,Probation officer,Camera operator
1559,"Embryologist, clinical","Designer, furniture","Administrator, Civil Service"
3095,Magazine journalist,"Teacher, special educational needs",Health physicist
1957,Mudlogger,"Biochemist, clinical",Customer service manager
4858,Theatre director,Computer games developer,Company secretary
5617,Art therapist,Charity fundraiser,Music therapist
3361,Financial manager,Lawyer,Speech and language therapist
6994,"Therapist, nutritional",Quantity surveyor,Financial manager
5327,Production engineer,Astronomer,"Conservator, museum/gallery"
9639,Television floor manager,Ranger/warden,"Scientist, marine"
8518,Astronomer,"Designer, jewellery","Accountant, chartered public finance"
3884,Immunologist,Printmaker,Academic librarian
7546,Solicitor,Equality and diversity officer,Interior and spatial designer
7439,Radiation protection practitioner,Training and development officer,Barrister
9500,Social researcher,Exercise physiologist,Pension scheme manager
6395,Engineering geologist,Financial manager,Armed forces training and education officer
8035,Nutritional therapist,Art gallery manager,"Engineer, mining"
5145,Ceramics designer,Scientific laboratory technician,"Journalist, magazine"
362,"Merchandiser, retail","Production assistant, radio",Actuary
523,Data processing manager,Water engineer,"Radiographer, therapeutic"
1686,Chartered loss adjuster,Applications developer,Plant breeder/geneticist
8913,Publishing copy,IT sales professional,Emergency planning/management officer
8794,Market researcher,Garment/textile technologist,"Psychologist, counselling"
9160,Retail merchandiser,Information officer,Broadcast engineer
6607,"Horticulturist, amenity",Web designer,Health visitor
378,Magazine features editor,General practice doctor,"Scientist, marine"
3940,Medical physicist,Building control surveyor,Oceanographer
19,Facilities manager,Charity fundraiser,Architect
7808,Teaching laboratory technician,Actuary,Fisheries officer
3522,"Engineer, energy",Retail manager,Passenger transport manager
6470,Fast food restaurant manager,Theatre stage manager,"Geologist, wellsite"
2931,"Surveyor, land/geomatics","Teacher, English as a foreign language",Technical author
2519,"Development worker, community",Architect,Maintenance engineer
9165,Occupational hygienist,Retail buyer,"Administrator, local government"
5982,Broadcast engineer,"Scientist, research (physical sciences)","Programmer, multimedia"
2268,Interpreter,Research scientist (medical),Futures trader
433,"Optician, dispensing",Writer,Nutritional therapist
1701,"Therapist, music",Medical sales representative,"Civil engineer, contracting"
4202,Volunteer coordinator,"Research officer, political party",Advertising copywriter
4888,Tax inspector,"Administrator, education","Administrator, local government"
8335,Travel agency manager,Research scientist (physical sciences),"Designer, textile"
865,"Scientist, water quality",Radiation protection practitioner,Geophysical data processor
4888,Clinical embryologist,"Engineer, petroleum","Embryologist, clinical"
8881,Surgeon,Outdoor activities/education manager,Hotel manager
5031,Camera operator,Operations geologist,"Engineer, broadcasting (operations)"
7761,Sport and exercise psychologist,Accommodation manager,Hospital pharmacist
4777,Company secretary,Sport and exercise psychologist,Early years teacher
1904,"Pilot, airline","Accountant, chartered public finance",Oncologist
4316,Health physicist,"Librarian, academic",Rural practice surveyor
9099,Special effects artist,Ophthalmologist,"Designer, fashion/clothing"
2483,Product/process development scientist,Ship broker,"Production designer, theatre/television/film"
5130,Pension scheme manager,Financial planner,Technical author
8873,Air traffic controller,Metallurgist,Retail banker
9705,Community pharmacist,"Teacher, English as a foreign language",Technical brewer
8237,Environmental health practitioner,Surgeon,Animal nutritionist
3316,Freight forwarder,Research scientist (maths),Games developer
5787,"Restaurant manager, fast food","Engineer, technical sales",Geophysical data processor
2564,Charity fundraiser,General practice doctor,Adult nurse
1577,"Loss adjuster, chartered",Sub,Land
9280,Fashion designer,Market researcher,Medical sales representative
3001,Early years teacher,Operational investment banker,Research scientist (physical sciences)
4615,Wellsite geologist,Heritage manager,Mechanical engineer
7120,"Programmer, applications",Materials engineer,"Chemist, analytical"
4369,Public librarian,Occupational hygienist,Art gallery manager
0,Prison officer,Patent attorney,"Designer, industrial/product"
173,Building services engineer,"Doctor, general practice",Chartered legal executive (England and Wales)
3720,Physiotherapist,Maintenance engineer,"Development worker, international aid"
3115,Public relations officer,Multimedia specialist,Civil Service fast streamer
2171,Sports coach,Restaurant manager,Engineering geologist
6300,Careers adviser,Textile designer,"Engineer, materials"
1361,Clinical biochemist,Biomedical scientist,Set designer
3277,Community pharmacist,Public relations account executive,Accommodation manager
2240,Theme park manager,"Scientist, research (medical)",Fashion designer
1250,"Designer, interior/spatial",Land/geomatics surveyor,Lobbyist
4197,"Presenter, broadcasting",Gaffer,Medical sales representative
2282,Homeopath,Fitness centre manager,Computer games developer
3941,Insurance underwriter,"Accountant, chartered management",Gaffer
6533,English as a second language teacher,IT technical support officer,Records manager
6033,"Lighting technician, broadcasting/film/video","Runner, broadcasting/film/video",Seismic interpreter
814,Archivist,Energy manager,"Scientist, research (physical sciences)"
2940,Publishing copy,Child psychotherapist,Educational psychologist
7738,Theme park manager,Personnel officer,"Librarian, public"
9888,Advertising account planner,"Buyer, industrial",Personnel officer
8463,IT consultant,"Lecturer, higher education",Ranger/warden
5699,"Development worker, community",Management consultant,Housing manager/officer
8982,Control and instrumentation engineer,"Engineer, manufacturing",Operations geologist
1679,"Exhibitions officer, museum/gallery","Production designer, theatre/television/film",Homeopath
6812,"Conservator, furniture","Therapist, horticultural",Production manager
263,Biomedical engineer,Energy engineer,Ceramics designer
7079,Fisheries officer,Data processing manager,Clinical biochemist
1541,Tree surgeon,Lobbyist,Hospital pharmacist
